"trait","lhs","rhs","est.std","se","pvalue","ci.lower","ci.upper"
"extr","wp_extr2","wp_extr1",0.286571706569485,0.0251002626465284,0,0.237376095779793,0.335767317359177
"extr","wp_extr3","wp_extr2",0.0373409773744256,0.034282903025923,0.276065192270531,-0.0298522778418627,0.104534232590714
"extr","wp_extr4","wp_extr3",0.0491356514988783,0.036678948529501,0.18037070544063,-0.022753766609742,0.121025069607499
"extr","wp_extr5","wp_extr4",0.268729800998247,0.0277867625103623,0,0.21426874723097,0.323190854765525
"extr","wp_substance_use2","wp_substance_use1",0.148961708366402,0.0959269018845135,0.120454941895945,-0.0390515644757516,0.336974981208556
"extr","wp_substance_use3","wp_substance_use2",0.103398948220511,0.119596031924284,0.387275730900782,-0.131004967044988,0.337802863486009
"extr","wp_substance_use4","wp_substance_use3",0.126714888426126,0.195318163812754,0.516492600671959,-0.256101678173367,0.509531455025619
"extr","wp_substance_use5","wp_substance_use4",0.0647308352194695,0.167515463328925,0.699187806914872,-0.263593439758764,0.393055110197703
"extr","wp_substance_use2","wp_extr1",-0.0469669024673874,0.0307602795744334,0.126793709549591,-0.10725594258766,0.013322137652885
"extr","wp_substance_use3","wp_extr2",0.0281271861183482,0.0314492617721226,0.371125491138466,-0.0335122342953845,0.0897666065320809
"extr","wp_substance_use4","wp_extr3",0.017936240727033,0.0393909368719436,0.648865173324104,-0.0592685768592673,0.0951410583133333
"extr","wp_substance_use5","wp_extr4",0.0123482585649109,0.0344729231934954,0.720192399585123,-0.0552174293361556,0.0799139464659774
"extr","wp_extr2","wp_substance_use1",0.0274571243528332,0.0276013355080353,0.319845605229482,-0.0266404991681226,0.0815547478737889
"extr","wp_extr3","wp_substance_use2",-0.00718696056095009,0.0262870099356407,0.784543061464019,-0.0587085532960524,0.0443346321741522
"extr","wp_extr4","wp_substance_use3",0.028254770818763,0.0305678515305976,0.355314721737527,-0.0316571172659759,0.0881666589035019
"extr","wp_extr5","wp_substance_use4",-0.0101296166299976,0.0257417412144197,0.693943297281914,-0.0605825023096105,0.0403232690496153
"open","wp_open2","wp_open1",0.214973733773556,0.025468086539625,0,0.165057201400741,0.26489026614637
"open","wp_open3","wp_open2",0.034896348871109,0.0284847034424674,0.220541001300712,-0.0209326439864311,0.0907253417286492
"open","wp_open4","wp_open3",0.0499766606714354,0.0292496543328903,0.0875206246111657,-0.00735160838127557,0.107304929724146
